plan_id,host_mno,plan_name,benefit_category,benefit_name,benefit_service,benefit_tier,benefit_value_won,user_pay_won,is_selectable,select_group,benefit_detail,source_url
10768,KT,통화 충분 4.5GB,사은품/페이백,"3대마트상품권, 네이버페이 2만원",,,20000,,False,,"대상: 바로유심/바로배송유심 구매 후 모요 개통, 1개월 유지한 고객 시기: 조건 달성한 달 월말",https://www.moyoplan.com/plans/10768
20002,KT,LTE300분/5GB-데이터소진후 자동차단,사은품/페이백,"3대 마트 상품권, 네이버페이 2만원",,,20000,,False,,"대상: 바로유심/바로배송유심 구매・개통 후 7개월 회선 유지한 고객 시기: 개통 후 4개월차 중순 1만원, 7개월차 중순 1만원",https://www.moyoplan.com/plans/20002
20002,KT,LTE300분/5GB-데이터소진후 자동차단,사은품/페이백,KT유심&배송비 무료,,,,,False,,대상: 대상 요금제 개통한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/20002
29950,SKT,이야기 라이트S 100분 20GB+,사은품/페이백,"네이버페이 5,000원",,,5000,,False,,대상: 대상 요금제 개통 후 개통월 내 리뷰 작성 후 1개월 회선 유지한 고객 시기: 조건 달성한 달 월말,https://www.moyoplan.com/plans/29950
37243,SKT,A 넥스트 100GB+(네이버페이 1만x7개월),사은품/페이백,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,False,,,https://www.moyoplan.com/plans/37243
37243,SKT,A 넥스트 100GB+(네이버페이 1만x7개월),사은품/페이백,네이버페이 1만원 지급 이벤트,,,10000,,False,,,https://www.moyoplan.com/plans/37243
24010,KT,LTE무제한 11GB+3M(CU20%할인),사은품/페이백,"3대 마트 상품권, 네이버페이 2만원",,,20000,,False,,"대상: 바로유심/바로배송유심 구매・개통 후 7개월 회선 유지한 고객 시기: 개통 후 4개월차 중순 1만원, 7개월차 중순 1만원",https://www.moyoplan.com/plans/24010
24010,KT,LTE무제한 11GB+3M(CU20%할인),사은품/페이백,CU 20% 오프라인 결제할인,,,,,False,,대상: 대상 요금제 개통한 고객 시기: 요금제 가입 후 익일에 발송,https://www.moyoplan.com/plans/24010
24010,KT,LTE무제한 11GB+3M(CU20%할인),사은품/페이백,추가데이터 20GB 제공,,,,,False,,대상: 대상 요금제 개통 후 고고모바일 사용자 간 결합한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/24010
24010,KT,LTE무제한 11GB+3M(CU20%할인),사은품/페이백,KT유심&배송비 무료,,,,,False,,대상: 대상 요금제 개통한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/24010
37178,KT,A 올라잇 11GB+ 밀리의서재(+추가 네이버페이 1만x7개월),사은품/페이백,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,False,,,https://www.moyoplan.com/plans/37178
37242,SKT,A 넥스트 71GB+(네이버페이 1만x7개월),사은품/페이백,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,False,,,https://www.moyoplan.com/plans/37242
37242,SKT,A 넥스트 71GB+(네이버페이 1만x7개월),사은품/페이백,네이버페이 1만원 지급 이벤트,,,10000,,False,,,https://www.moyoplan.com/plans/37242
29317,KT,[K] 핀다이렉트 Speed 30GB/200분,사은품/페이백,"네이버페이, 3대 마트 상품권 2만원",,,20000,,False,,"대상: 바로유심/바로배송유심 구매・개통 후 7개월 회선 유지한 고객 시기: 개통 4개월차 중순 1만원, 7개월차 중순 1만원",https://www.moyoplan.com/plans/29317
29317,KT,[K] 핀다이렉트 Speed 30GB/200분,사은품/페이백,데이터 로밍 3일 무료 쿠폰,,,,,False,,대상: 대상 요금제 개통한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/29317
31399,LGU+,[L] 핀다이렉트Z 15GB+/100분,사은품/페이백,데이터 로밍 3일 무료 쿠폰,,,,,False,,대상: 대상 요금제 개통한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/31399
37181,KT,A 올라잇 100GB+ 밀리의서재(+추가 네이버페이 1만x7개월),사은품/페이백,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,False,,,https://www.moyoplan.com/plans/37181
35478,SKT,[S]아이즈팩 11GB+,사은품/페이백,아이즈팩 이용권,,,,,False,,대상: 대상 요금제 개통 후 사은품 지급 시기까지 회선 유지한 고객 시기: 요금제 개통 후 익월 15일 경,https://www.moyoplan.com/plans/35478
35478,SKT,[S]아이즈팩 11GB+,사은품/페이백,SOLO결합 데이터 20GB 지급,,,,,False,,대상: 대상 요금제 개통 후 아이즈모바일 사용자간 결합 & SOLO 결합한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/35478
8169,LGU+,내맘대로 차단형 (50분+1GB),사은품/페이백,"네이버페이 5,000원",,,5000,,False,,대상: 대상 요금제 개통 후 개통월 내 리뷰 작성 후 1개월 회선 유지한 고객 시기: 조건 달성한 달 월말,https://www.moyoplan.com/plans/8169
