carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MVNO,SKT,아이즈모바일,35350,35350,official_code,[S]그란데(100분/6GB),,moyo,True,,,LTE,6.0,,6.0,False,,,6.0,,6.0,quota,False,100,,False,100,15100,10,모요 프로모션 할인,12,0,0,,,,,,2037,https://www.moyoplan.com/plans/35350,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,아이즈모바일,35482,35482,official_code,[S]울트라(500분/20GB),,moyo,True,,,LTE,20.0,,20.0,False,,,,,,undisclosed,False,500,,False,100,9900,9900,,,0,0,,,,,,296,https://www.moyoplan.com/plans/35482,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,이야기모바일,20568,20568,official_code,내맘대로 (100분+3.5GB),,moyo,True,,,LTE,3.5,,3.5,False,,,,,,unsupported,False,100,,False,0,6600,6600,,,1,0,,,,,"네이버페이 5,000원",22,https://www.moyoplan.com/plans/20568,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,모빙,37256,37256,official_code,[S] 100분1GB,,moyo,True,,,LTE,1.0,,1.0,False,,,,,,unsupported,False,100,,False,100,2800,2800,,,0,0,,,,,,1574,https://www.moyoplan.com/plans/37256,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,티플러스,33160,33160,official_code,5G 통화안심 10GB,,moyo,True,,,5G,10.0,,10.0,False,,,,,,unsupported,True,,,False,100,19800,7900,모요 프로모션 할인,4,0,0,,,,,,99,https://www.moyoplan.com/plans/33160,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,모빙,37397,37397,official_code,[L] 데이터 100GB+_24개월,,moyo,True,,,LTE,100.0,,100.0,False,5Mbps,,,,,unsupported,True,,,True,,53900,28900,모요 프로모션 할인,24,0,0,,,,,,273,https://www.moyoplan.com/plans/37397,2026-08-11T01:43:06.687727+00:00
MVNO,KT,이지모바일,35788,35788,official_code,EG 무제한 7GB+1(모아진),,moyo,True,,,LTE,7.0,,7.0,False,1Mbps,,7.0,,7.0,quota,True,,300,True,,22000,11330,모요 프로모션 할인,7,1,1,모아진(전세계 매거진) 무료 구독,,,,,46,https://www.moyoplan.com/plans/35788,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,모빙,37354,37354,official_code,실속 200분6GB+,,moyo,True,,,LTE,6.0,,6.0,False,1Mbps,,,,,unsupported,False,200,,False,100,16000,10,모요 프로모션 할인,6,0,0,,,,,,2508,https://www.moyoplan.com/plans/37354,2026-08-11T01:43:06.687727+00:00
MVNO,KT,KT스카이라이프,10768,10768,official_code,통화 충분 4.5GB,,moyo,True,,,LTE,4.5,,4.5,False,,,,,,within_data,True,,0,True,,8850,8850,,,2,0,,,,,"S-머니3만원(5천원X6개월) | 3대마트상품권, 네이버페이 2만원",205,https://www.moyoplan.com/plans/10768,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,에이모바일,37229,37229,official_code,A 스마트 5GB/100분,,moyo,True,,,LTE,5.0,,5.0,False,,,,,,undisclosed,False,100,,False,100,8800,330,모요 프로모션 할인,12,1,1,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,554,https://www.moyoplan.com/plans/37229,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,찬스모바일,26866,26866,official_code,음성기본,,moyo,True,,,LTE,,,,False,5Mbps,5.0,,,,undisclosed,True,,,True,,46200,21000,모요 프로모션 할인,7,1,0,,,,,유심/배송비 무료,64,https://www.moyoplan.com/plans/26866,2026-08-11T01:43:06.687727+00:00
MVNO,KT,이지모바일,30851,30851,official_code,EG 무제한 15GB+1(밀리의 서재),,moyo,True,,,LTE,15.0,,15.0,False,1Mbps,,15.0,,15.0,quota,True,,300,True,,25850,17000,모요 프로모션 할인,7,3,1,밀리의서재,,,데이터 10GB 추가 증정,일반유심/배송비 무료,59,https://www.moyoplan.com/plans/30851,2026-08-11T01:43:06.687727+00:00
MVNO,KT,더원모바일,33964,33964,official_code,TOP 5G 200GB 기본 (밀리의서재),,moyo,True,,,5G,200.0,,200.0,False,10Mbps,,50.0,,50.0,quota,True,,300,True,,55000,29700,모요 프로모션 할인,7,3,1,밀리의서재,,,솔로결합(+20GB),"3대 마트 상품권, 네이버페이 2만원",830,https://www.moyoplan.com/plans/33964,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,모나,37125,37125,official_code,5G_모나데이터50G안심1,,moyo,True,,,5G,50.0,,50.0,False,1Mbps,,,,,unsupported,True,,,True,,50600,29900,모요 프로모션 할인,12,0,0,,,,,,10,https://www.moyoplan.com/plans/37125,2026-08-11T01:43:06.687727+00:00
MVNO,KT,스마텔,25352,25352,official_code,5G 스위트 110GB+(지니뮤직),,moyo,True,,신규 가입을 받지 않는 통신사입니다. 사용 중인 번호 그대로 통신사만 이동할 분들만 가입이 가능해요.,5G,110.0,,110.0,False,5Mbps,,10.0,,10.0,quota,True,,300,True,,49500,47300,모요 프로모션 할인,36,0,0,,,,,,35,https://www.moyoplan.com/plans/25352,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,에이모바일,37227,37227,official_code,A 스마트 15GB,,moyo,True,,,LTE,15.0,,15.0,False,,,,,,undisclosed,True,,,True,,21340,1100,모요 프로모션 할인,7,1,1,조선일보 종이신문 1개월 무료 구독 이벤트,,,,,6998,https://www.moyoplan.com/plans/37227,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,KG모바일,23744,23744,official_code,[일반] 실속 (5GB/300분),,moyo,True,,,LTE,5.0,,5.0,False,,,,,,unsupported,False,300,,False,100,12100,1600,모요 프로모션 할인,6,0,0,,,,,,70,https://www.moyoplan.com/plans/23744,2026-08-11T01:43:06.687727+00:00
MVNO,SKT,스마텔,25334,25334,official_code,USIM 스마일 5G망 (200분/10GB),,moyo,True,,,5G,10.0,,10.0,False,,,10.0,,10.0,quota,False,200,,False,100,17600,8800,모요 프로모션 할인,5,0,0,,,,,,90,https://www.moyoplan.com/plans/25334,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,모빙,37398,37398,official_code,[L] 데이터 매일5GB+_24개월,,moyo,True,,,LTE,,,,False,5Mbps,5.0,,,,unsupported,True,,,True,,53900,28900,모요 프로모션 할인,24,0,0,,,,,,108,https://www.moyoplan.com/plans/37398,2026-08-11T01:43:06.687727+00:00
MVNO,LGU+,인스모바일,15373,15373,official_code,[평생할인]인스 유심 음성 120분+1.5GB,,moyo,True,,,LTE,1.5,,1.5,False,,,,,,within_data,False,120,0,False,100,2430,2430,,,0,0,,,,,,60,https://www.moyoplan.com/plans/15373,2026-08-11T01:43:06.687727+00:00
MVNO,KT,이야기모바일,16836,16836,official_code,이야기K 데이터 7GB+(지니뮤직),,moyo,True,,,LTE,7.0,,7.0,False,1Mbps,,,,,unsupported,True,,,True,,24200,12000,모요 프로모션 할인,7,2,0,,,,,"네이버페이, 3대 마트 상품권 2만원 | 네이버페이 5,000원",52,https://www.moyoplan.com/plans/16836,2026-08-11T01:43:06.687727+00:00
MVNO,KT,모빙,37323,37323,official_code,[K] 데이터 15GB+,,moyo,True,,,LTE,15.0,,15.0,False,1Mbps,,,,,unsupported,True,,,True,,33000,15400,모요 프로모션 할인,24,0,0,,,,,,23,https://www.moyoplan.com/plans/37323,2026-08-11T01:43:06.687727+00:00
