plan_id,host_mno,plan_name,benefit_category,benefit_name,benefit_service,benefit_tier,benefit_value_won,user_pay_won,is_selectable,select_group,benefit_condition,benefit_detail,source_url
36647,LGU+,DATA 걱정없는 유심 100GB,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,대상: 1개월 회선 유지 시기: 조건달성한달 5일,https://www.moyoplan.com/plans/36647
36647,LGU+,DATA 걱정없는 유심 100GB,추가데이터,"헬로모바일 결합시, 추가 데이터 20GB 증정",,,,,False,,,"시기: 결합일 익일 제공, 익월부터 매월 1일 제공",https://www.moyoplan.com/plans/36647
36647,LGU+,DATA 걱정없는 유심 100GB,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,대상: 혜택 지급 시점까지 회선 유지 시기: 조건달성한 달 3주차(9월 3주차),https://www.moyoplan.com/plans/36647
36163,KT,[모요only] 쉐이크only LTE 100GB+밀리의서재,OTT/구독,밀리의 서재 구독권 지급 이벤트,밀리의서재,,,,False,,,,https://www.moyoplan.com/plans/36163
36163,KT,[모요only] 쉐이크only LTE 100GB+밀리의서재,사은품/페이백,매월 1천원 요금할인 (팝테일 가입·인증),,,1000,,False,,,,https://www.moyoplan.com/plans/36163
36163,KT,[모요only] 쉐이크only LTE 100GB+밀리의서재,사은품/페이백,"마트상품권, 네이버페이 최대 2만원",,,20000,,False,,KT바로유심,"대상: 바로유심/바로배송유심 구매・개통 후 7개월 회선 유지 시기: 개통 후 4개월차 말일 1만원, 7개월차 말일 1만원",https://www.moyoplan.com/plans/36163
36163,KT,[모요only] 쉐이크only LTE 100GB+밀리의서재,추가데이터,SOLO결합(+20GB),,,,,False,,,,https://www.moyoplan.com/plans/36163
36163,KT,[모요only] 쉐이크only LTE 100GB+밀리의서재,추가데이터,데이터쿠폰 20GB,,,,,False,,,"대상: 대상 요금제 개통 후, 지급시기까지 회선 유지 시기: 3개월 단위로 총 3회 제공",https://www.moyoplan.com/plans/36163
26312,LGU+,[모빌카드 스페셜] 유심 5G 150GB+,사은품/페이백,일반 유심/배송비 무료,,,,,False,,,,https://www.moyoplan.com/plans/26312
34378,LGU+,[모요only] [CH]100GB+5Mbps,사은품/페이백,유심/배송비 무료,,,,,False,,,,https://www.moyoplan.com/plans/34378
37442,SKT,[모요only] [S] 핀다이렉트Z Max(네이버페이) _PAY,사은품/페이백,네이버페이 매달 3만원 페이백 (7개월),,,210000,,False,,,,https://www.moyoplan.com/plans/37442
37442,SKT,[모요only] [S] 핀다이렉트Z Max(네이버페이) _PAY,추가데이터,SKT 데이터 결합 (추가데이터 20GB),,,,,False,,,,https://www.moyoplan.com/plans/37442
6803,LGU+,슬림 유심 2GB 200분,사은품/페이백,네이버페이 매달 4천원 페이백(6개월),,,24000,,False,,,,https://www.moyoplan.com/plans/6803
6803,LGU+,슬림 유심 2GB 200분,사은품/페이백,프레딧 쿠폰 2만원(5천원*4개월),,,20000,,False,,,,https://www.moyoplan.com/plans/6803
6803,LGU+,슬림 유심 2GB 200분,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,,https://www.moyoplan.com/plans/6803
6803,LGU+,슬림 유심 2GB 200분,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,,https://www.moyoplan.com/plans/6803
6836,LGU+,The 착한 데이터 유심 11GB,사은품/페이백,네이버페이 매달 2.5만원 페이백(6개월),,,150000,,False,,,,https://www.moyoplan.com/plans/6836
6836,LGU+,The 착한 데이터 유심 11GB,사은품/페이백,네이버페이 1만원,,,10000,,False,,,,https://www.moyoplan.com/plans/6836
6836,LGU+,The 착한 데이터 유심 11GB,사은품/페이백,갤럭시 자급제 이벤트 신세계상품권 10만원,,,100000,,False,,,,https://www.moyoplan.com/plans/6836
6836,LGU+,The 착한 데이터 유심 11GB,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,대상: 1개월 회선 유지 시기: 조건달성한달 5일,https://www.moyoplan.com/plans/6836
6836,LGU+,The 착한 데이터 유심 11GB,추가데이터,"헬로모바일 결합시, 추가 데이터 20GB 증정",,,,,False,,,"시기: 결합일 익일 제공, 익월부터 매월 1일 제공",https://www.moyoplan.com/plans/6836
6836,LGU+,The 착한 데이터 유심 11GB,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,대상: 혜택 지급 시점까지 회선 유지 시기: 조건달성한 달 3주차(9월 3주차),https://www.moyoplan.com/plans/6836
37403,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PAY,사은품/페이백,네이버페이 매달 3만원 페이백 (7개월),,,210000,,False,,,,https://www.moyoplan.com/plans/37403
37403,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PAY,사은품/페이백,네이버페이 매달 5천원 페이백 (평생),,,5000,,False,,,,https://www.moyoplan.com/plans/37403
37403,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PAY,사은품/페이백,"네이버페이, 마트 상품권 2만원",,,20000,,False,,KT바로유심,,https://www.moyoplan.com/plans/37403
37403,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PAY,사은품/페이백,데이터 로밍 3일 무료 쿠폰,,,,,False,,,,https://www.moyoplan.com/plans/37403
37403,KT,[모요only] [K] 핀다이렉트Z 100GB+(네이버페이) _PAY,추가데이터,KT 데이터 결합 (추가데이터 20GB),,,,,False,,,,https://www.moyoplan.com/plans/37403
6790,LGU+,보편 안심 유심 15GB 100분,사은품/페이백,네이버페이 매달 2.5만원 페이백(6개월),,,150000,,False,,,,https://www.moyoplan.com/plans/6790
