carrier_type,host_mno,mvno_brand,plan_id,base_plan_id,plan_id_type,plan_name,selected_option,plan_category,is_online_only,age_condition,signup_notice,network_gen,base_data_gb,extra_data_gb,data_gb,data_unlimited,data_throttle_speed,daily_data_gb,base_tethering_gb,extra_tethering_gb,tethering_gb,tethering_support,voice_unlimited,voice_minutes,voice_extra_minutes,sms_unlimited,sms_count,monthly_fee,discounted_fee,discount_type,discount_period_months,benefit_count,ott_option_count,ott_options,membership_grade,smart_device_benefit,extra_data_benefit,gift_benefit,subscriber_count,source_url,crawled_at
MNO,LGU+,,LPZ1006746,LPZ1006746,official_code,데이터플랜1.5GB(시니어+1GB),,LGU+-시니어,False,만 65세 이상,,5G,2.5,,2.5,False,400Kbps,,,,,undisclosed,True,,110,True,,33000,24750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1006746,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007662,LPZ1007662,official_code,데이터플랜300MB(시니어+0.7GB),,LGU+-시니어,False,만 65세 이상,,5G,1.0,,1.0,False,400Kbps,,,,,undisclosed,True,,100,True,,28000,21000,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-senior/LPZ1007662,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007437,LPZ1007437,official_code,데이터플랜MAX(Global),,LGU+-외국인(Global),False,외국인,,5G,,,,True,,,70.0,,70.0,quota,False,250,,False,250,85000,63750,선택약정 25% 할인,,3,0,,VIP,,테더링+쉐어링 70GB,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007437,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007438,LPZ1007438,official_code,데이터플랜150GB(Global),,LGU+-외국인(Global),False,외국인,,5G,150.0,,150.0,False,5Mbps,,60.0,,60.0,quota,False,250,,False,250,75000,56250,선택약정 25% 할인,,2,0,,VIP,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007438,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007439,LPZ1007439,official_code,데이터플랜80GB(Global),,LGU+-외국인(Global),False,외국인,,5G,80.0,,80.0,False,1Mbps,,45.0,,45.0,quota,False,250,,False,250,66000,49500,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007439,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007440,LPZ1007440,official_code,데이터플랜31GB(Global),,LGU+-외국인(Global),False,외국인,,5G,31.0,,31.0,False,1Mbps,,,,,undisclosed,False,250,,False,250,61000,45750,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007440,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007441,LPZ1007441,official_code,데이터플랜14GB(Global),,LGU+-외국인(Global),False,외국인,,5G,14.0,,14.0,False,1Mbps,,,,,undisclosed,False,250,,False,250,55000,41250,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007441,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007442,LPZ1007442,official_code,데이터플랜9GB(Global),,LGU+-외국인(Global),False,외국인,,5G,9.0,,9.0,False,400Kbps,,,,,undisclosed,False,250,,False,250,47000,35250,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007442,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007443,LPZ1007443,official_code,데이터플랜5GB(Global),,LGU+-외국인(Global),False,외국인,,5G,5.0,,5.0,False,400Kbps,,,,,undisclosed,False,250,,False,250,37000,27750,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007443,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007630,LPZ1007630,official_code,데이터플랜150GB(Uth+60GB),,LGU+-외국인 청년(Uth),False,"외국인, 만 34세 이하",,5G,210.0,,210.0,False,5Mbps,,60.0,,60.0,quota,False,250,,False,250,75000,56250,선택약정 25% 할인,,2,0,,VIP,,"국제전화, 데이터 추가 제공",,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007630,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007631,LPZ1007631,official_code,데이터플랜80GB(Uth+30GB),,LGU+-외국인 청년(Uth),False,"외국인, 만 34세 이하",,5G,110.0,,110.0,False,1Mbps,,45.0,,45.0,quota,False,250,,False,250,66000,49500,선택약정 25% 할인,,1,0,,,,"국제전화, 데이터 추가 제공",,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007631,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007632,LPZ1007632,official_code,데이터플랜31GB(Uth+10GB),,LGU+-외국인 청년(Uth),False,"외국인, 만 34세 이하",,5G,41.0,,41.0,False,1Mbps,,,,,undisclosed,False,250,,False,250,61000,45750,선택약정 25% 할인,,1,0,,,,"국제전화, 데이터 추가 제공",,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007632,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007633,LPZ1007633,official_code,데이터플랜14GB(Uth+12GB),,LGU+-외국인 청년(Uth),False,"외국인, 만 34세 이하",,5G,26.0,,26.0,False,1Mbps,,,,,undisclosed,False,250,,False,250,55000,41250,선택약정 25% 할인,,1,0,,,,"국제전화, 데이터 추가 제공",,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007633,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007634,LPZ1007634,official_code,데이터플랜9GB(Uth+6GB),,LGU+-외국인 청년(Uth),False,"외국인, 만 34세 이하",,5G,15.0,,15.0,False,400Kbps,,,,,undisclosed,False,250,,False,250,47000,35250,선택약정 25% 할인,,1,0,,,,"국제전화, 데이터 추가 제공",,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007634,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007635,LPZ1007635,official_code,데이터플랜5GB(Uth+4GB),,LGU+-외국인 청년(Uth),False,"외국인, 만 34세 이하",,5G,9.0,,9.0,False,400Kbps,,,,,undisclosed,False,250,,False,250,37000,27750,선택약정 25% 할인,,1,0,,,,"국제전화, 데이터 추가 제공",,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-foreigner/LPZ1007635,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006521,LPZ1006521,official_code,데이터플랜1.5GB(복지+1GB),,LGU+-복지,False,복지카드 소지 시,,5G,2.5,,2.5,False,400Kbps,,,,,undisclosed,True,,300,True,,33000,24750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1006521,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006941,LPZ1006941,official_code,데이터플랜150GB(복지),,LGU+-복지,False,복지카드 소지 시,,5G,150.0,,150.0,False,5Mbps,,60.0,,60.0,quota,True,,600,True,,75000,56250,선택약정 25% 할인,,2,0,,VIP,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1006941,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1006959,LPZ1006959,official_code,데이터플랜5GB(복지+1GB),,LGU+-복지,False,복지카드 소지 시,,5G,6.0,,6.0,False,400Kbps,,,,,undisclosed,True,,600,True,,37000,27750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1006959,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007664,LPZ1007664,official_code,데이터플랜125GB(복지),,LGU+-복지,False,복지카드 소지 시,,5G,125.0,,125.0,False,5Mbps,,55.0,,55.0,quota,True,,600,True,,70000,52500,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007664,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007665,LPZ1007665,official_code,데이터플랜95GB(복지),,LGU+-복지,False,복지카드 소지 시,,5G,95.0,,95.0,False,3Mbps,,50.0,,50.0,quota,True,,600,True,,68000,51000,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007665,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007666,LPZ1007666,official_code,데이터플랜80GB(복지),,LGU+-복지,False,복지카드 소지 시,,5G,80.0,,80.0,False,1Mbps,,45.0,,45.0,quota,True,,600,True,,66000,49500,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007666,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007667,LPZ1007667,official_code,데이터플랜50GB(복지),,LGU+-복지,False,복지카드 소지 시,,5G,50.0,,50.0,False,1Mbps,,40.0,,40.0,quota,True,,600,True,,63000,47250,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007667,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007668,LPZ1007668,official_code,데이터플랜31GB(복지),,LGU+-복지,False,복지카드 소지 시,,5G,31.0,,31.0,False,1Mbps,,,,,undisclosed,True,,600,True,,61000,45750,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007668,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007669,LPZ1007669,official_code,데이터플랜24GB(복지),,LGU+-복지,False,복지카드 소지 시,,5G,24.0,,24.0,False,1Mbps,,,,,undisclosed,True,,600,True,,59000,44250,선택약정 25% 할인,,1,0,,,,,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007669,2026-08-12T00:22:06.440169+00:00
MNO,LGU+,,LPZ1007670,LPZ1007670,official_code,데이터플랜750MB(복지+0.5GB),,LGU+-복지,False,복지카드 소지 시,,5G,1.25,,1.25,False,400Kbps,,,,,undisclosed,False,125,,False,150,29000,21750,선택약정 25% 할인,,1,0,,,,데이터 추가 제공,,,https://www.lguplus.com/mobile/plan/mplan/5g-all/5g-welfare/LPZ1007670,2026-08-12T00:22:06.440169+00:00
